Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020<R>,2021<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,381010.997,423892.619,425114.881,404003.994,421664.068,431473.521,413147.457,423751.743,431007.153,450380.777,477816.594,500770.535,522743.051,544561.159,576754.045,536276.359,570937.657,622671.299,669903.994,709152.631,756722.157,754129.608,772298.859,803888.528,849841.554,885438.787,946837.916,1004636.521,1020366.768,952725.778,1025184.258,1069812.268,1113817.766,1124999.893,1161168.669,1228082.513,1257648.421,1306549.097,1353169.991,1372625.069,1268066.13,1344947.073
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,139873.636,148792.319,149098.544,145958.282,149547.695,151914.204,149121.114,151544.003,152896.542,156534.122,162675.298,167527.989,171905.747,175814.831,189696.706,173883.884,180582.64,184085.703,188679.539,193874.658,200660.573,201968.347,202435.632,202963.936,210757.192,213677.217,218023.575,219815.363,226633.787,224510.705,228089.144,234955.838,239680.171,245515.976,250239.106,260612.907,256580.339,250518.62,260740.417,252892.486,237528.104,249590.953
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,212517.275,231428.648,231617.036,220757.676,228979.795,235084.893,227190.53,233572.129,237804.798,246392.092,258674.688,265913.098,272619.198,279617.549,294136.914,269044.699,294957.013,320869.124,346669.894,374452.804,387659.658,393378.558,386066.756,395907.258,405907.943,428179.294,447201.403,465818.722,468969.471,432578.676,469967.84,493353.224,524226.058,519256.535,526200.669,540604.128,555309.088,589080.273,603843.688,595393.262,530957.543,542718.718
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,99632.046,111991.12,111694.868,103658.274,108566.695,111798.755,105476.183,108649.224,110537.731,115676.399,123821.206,130464.03,138542.851,144989.578,155797.176,146113.687,161164.075,180672.696,198181.505,204774.075,213806.309,212920.049,211977.015,212106.713,227917.275,243311.19,258448.271,271622.051,278348.405,270311.398,287403.169,308865.228,318294.372,319989.728,342666.454,362418.911,377947.864,395109.808,406744.73,403298.963,365964.746,388480.881
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,66743.109,72711.611,72306.231,69600.571,71865.703,72839.614,70962.035,72840.807,74748.442,78704.239,83809.29,88937.081,94163.314,98973.809,102795.432,98446.759,107832.47,118424.158,127273.467,127122.692,132052.64,138808.533,138511.957,144233.02,156941.599,163681.664,174364.522,192904.582,203018.581,185671.746,195148.828,206053.849,215709.871,225272.667,233252.369,244081.496,261497.598,272211.726,286533.451,290182.71,222079.057,257699.109
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,128925.727,141415.626,140984.461,133967.308,138617.202,141215.576,135400.478,138376.24,140315.132,145901.189,154325.366,161068.506,166945.209,172437.262,184720.675,165745.098,178316.552,189892.922,200417.267,205890.044,216125.564,214292.424,214907.08,224280.267,237464.465,247240.388,258649.446,264315.631,270024.005,255845.961,269397.22,283881.746,297293.962,307896.47,316716.343,329359.358,342065.043,354677.904,369840.94,368609.775,341564.629,354895.975
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,184694.565,200605.869,200500.107,194538.736,200554.634,204971.121,199050.105,203337.661,205035.204,211145.162,223018.376,231353.213,236512.691,243240.785,249242.414,236299.976,241122.48,247006.776,256351.875,263681.824,282724.646,276543.929,267364.693,268247.066,284658.629,285708.482,294951.695,305622.537,316380.798,303066.175,312655.113,318762.638,330191.387,334097.307,340077.857,358848.314,376438.398,380987.655,390894.97,398152.897,369694.144,383065.988
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,221500.467,245893.637,244165.605,227462.57,236403.169,242828.733,228241.708,233792.152,235394.758,243762.016,260798.505,272610.301,286551.069,294343.952,320743.844,304399.502,318748.724,351715.557,375189.622,389003.503,421682.693,407775.04,376131.733,365533.727,384484.325,404881.254,429625.189,435397.343,436717.189,410374.271,431501.919,471510.171,495926.031,510315.674,522896.949,549606.823,578945.379,575986.463,581413.804,580732.615,550905.96,572000.016
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,260401.114,283903.456,284156.587,270729.477,281155.5,288891.072,281594.481,290266.005,297533.658,309911.699,326245.945,339938.636,352529.132,364000.636,365675.134,360899.364,392397.206,403061.685,417344.87,411433.725,409384.762,397437.807,374453.371,374891.404,391243.029,421079.732,445309.616,454079.113,475202.827,495944.159,525011.917,549751.131,564003.811,553628.205,564794.238,562212.305,534685.495,509388.361,467226.446,448891.865,464414.365,502306.005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,202148.879,221052.973,221369.064,210483.546,219047.45,225716.152,217158.391,223405.466,226770.703,234558.243,247200.298,254454.638,261905.025,265972.07,285145.728,265067.246,288134.319,308451.313,337995.713,360018.466,379569.363,361511.309,375490.518,391574.439,410112.746,436490.981,449609.24,464007.812,483350.662,439739.323,448215.116,456768.535,466371.322,473241.401,477891.309,492586.952,500458.048,498369.426,508491.928,517419.862,473823.495,481559.431
